"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00000000338292282446458,0.000000169146141223229,0.774939030136436,0.4966088583895,2.10683199875825,190,"26353;4886;2707;2810;2717;6337;7869;5174;4665;9547;5104;3398;1960;7033;56603;3158;10439;7031;999;27075;2296;56521;23596;10538;5603;4192;10105;2261;4299;8309;57758;771;960;11057;1152;27250;3860;23650;6652;7538;6820;6990;11012;3418;5618;493;3880;595;11098;10551;7358;10761;928;3918;51659;1154;9536;64065;2353;10497"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000484568415188537,0.00412367445689109,0.49849310876659,0.493190858441662,1.80807181759303,71,"7869;132864;5329;1119;3422;552;230;134429;3157;3156;6713;5641;10682;2770;1595;6319;3949;928;4047;51478;1191;50814;7108;3958;9415;467;2222"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000165061479447168,0.00206326849308959,0.518848077743792,0.401174724973137,1.70195866100224,190,"26353;4886;360;2697;2810;375449;2717;6337;1999;7869;5174;91683;9467;29984;794;1960;7033;18;56603;10439;7031;2296;23596;4582;81875;10105;1997;4299;3898;60436;4477;771;960;11057;10125;3860;55191;8553;6820;6990;107;7071;6505;23541;3880;595;11098;3856;1154;9536"
"HALLMARK_HYPOXIA",0.0000849847499957124,0.00141641249992854,0.538434096309916,0.392833695046512,1.66433623784726,188,"3486;3484;51129;56925;5837;1907;1026;6781;9469;1028;2309;1466;5329;6533;230;1843;23210;9957;1942;7128;5054;5507;272;6275;3623;10397;2113;771;2023;3798;7538;8553;9380;6820;6385;694;23764;123;3948;23645;7043;3073;2353;26118;5105;3939;2584;6095;8974;3669;2817;26136;8277;467;302;3099;55577"
"HALLMARK_MYOGENESIS",0.000619251486570463,0.00442322490407473,0.477270815362862,0.367526874516724,1.55683304617193,187,"10580;26353;3486;5837;1026;948;6535;23175;2702;1158;23604;7125;3908;58;7139;4208;4046;1306;1281;7140;1293;5507;4151;165;9659;6588;4635;2281;22933;1152;25937;8553;688;6525;6319;2049;1134;6261;5740;1191;203;29970;5091;2878;7170;2934;4656;23654;3316"
"HALLMARK_UV_RESPONSE_UP",0.0042624368911045,0.0186800253378345,0.407017918923954,0.363773629740227,1.49914112794447,149,"360;5334;6236;3337;6535;10482;1028;1119;262;10439;2744;8817;1983;10105;3301;2643;2354;6648;650;10125;578;1212;694;5580;5702;997;6184;3134;5789;30;80273;10963"
"HALLMARK_ANDROGEN_RESPONSE",0.0131459951991832,0.0438199839972775,0.380730400722792,0.383340564885125,1.48695248972548,96,"4117;3248;4824;3638;6303;84159;3422;563;3157;3156;57178;10397;11057;2181;6652;1021;6319;3880;595;5867;3856;2185;1718;22936;4189;896;7113;23223;6611;567;9053;23585;3977;10257;6675;1622;6728"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0057473708125388,0.0205263243304957,0.407017918923954,0.349754148281031,1.4838100828217,190,"3486;22795;2201;2697;5376;6422;6535;3398;5744;6303;5329;9353;3908;1281;6591;1293;6696;7128;5054;7078;8572;4147;960;667;5217;25878;6385;5645;4256;3678;3918;284217;649;1282;4035;966;2199;822;2191;4907;4060;1278;5654;2192;7857;2817;5479;2335;131578;50863;6444;5270;4314;7171;5396;7040;6372;813;3693;5118;10631;6695;6424;1292;7049;7980;2200;7070;3725;3371"
"HALLMARK_KRAS_SIGNALING_UP",0.00448320608108027,0.0186800253378345,0.407017918923954,0.347791261951779,1.4719476765037,189,"5649;3486;55107;51129;2012;7869;9945;10912;7166;685;3398;3783;9935;5329;10221;4803;7139;6004;25907;27075;219333;5178;6696;7128;5327;7851;5175;2113;650;51704;669;7035;951;11199;10103;3728;1437;5936;23645"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00535745211441367,0.0205263243304957,0.407017918923954,0.345323677807509,1.47113570566881,194,"22822;3604;1026;9945;11080;3398;1960;6303;1958;23529;5329;7280;10221;8061;8744;1843;1942;9334;5142;1847;9021;80176;7128;5054;5606;2643;2354;6648;10938;960;650;3914;3460;8013;10318;23308;1880;7538;8553;6385;694;7071;7262;1846;23764;3949;1437;4170;23645;595;9034;5791;79155"
"HALLMARK_COAGULATION",0.0193892930051543,0.0605915406411073,0.352487857583619,0.353647295251147,1.43251050522148,127,"1397;2243;301;4316;3158;11072;1803;5054;5327;7078;735;2266;5175;8309;22933;5641;716;717;712;726;341;4317;23764;2147;345;6284;11098;928;649;1510;629;4035;1191;335;2934;344;5654"
"HALLMARK_IL2_STAT5_SIGNALING",0.0311912945322678,0.0917391015654935,0.352487857583619,0.312640321547877,1.32270162926825,185,"22822;962;3604;4860;2012;1028;8784;7850;6004;942;4953;4582;10538;6696;5269;84230;10397;8202;960;650;3559;84525;8553;23764;123;1437;81848;6335;1493;1154;3682;3563;9308;4643;8600;822;5339;896;6095;4907;659;4839;126669;79026;51651;8651;3099;55509;196;22807;200734;6510;51284;80324"
"HALLMARK_COMPLEMENT",0.0692771084337349,0.19243641231593,0.208955027549354,0.296132672951969,1.25431815689436,192,"3303;1378;948;23533;5329;255738;801;5294;1847;1803;7128;5054;5327;735;8445;10938;5641;843;27445;5646;716;717;4322;10125;2155;712;3816;5580;341;4317;23764;2147;54331;6284;3001;978;629;4035;1191;966;8942;51440;3003;5516;3958;6280;337;2335"
"HALLMARK_ANGIOGENESIS",0.180869565217391,0.442535047483688,0.134273452883202,0.384027007762117,1.2307580495559,36,"6781;5104;5154;1281;6696;6578;6275;8993;4060;350;4043;7448;6372;10631"
"HALLMARK_HEDGEHOG_SIGNALING",0.214162348877375,0.446171560161198,0.121543282035469,0.373681773739238,1.19208697570548,35,"8828;23493;1271;8633;7090;3897;1021;7088"
"HALLMARK_INFLAMMATORY_RESPONSE",0.187779433681073,0.442535047483688,0.120433371642259,0.273945472471737,1.1606371418188,188,"728;4693;962;1236;3604;166929;1026;10663;9966;23533;5329;6004;8744;366;5142;2357;23166;5054;2643;3696;3460;10125;23308;5027;5099;1880;1536;3949;9034;3678;5791;8807;10316;10006;5029;27032"
"HALLMARK_ADIPOGENESIS",0.203566121842496,0.442535047483688,0.114750719227023,0.270026807261356,1.14182660494141,183,"10580;26353;51129;1580;348;948;1306;79071;5004;10313;27250;847;79602;123;80273;3910;2040;1282;47;3952;2167;8404;1149;4189;2878;8322;8491;11343;54884;83871;7532;10935;28512;8802;92840;6510;11176;415116;10124;1717;149685;6576;3977;1891;3417;6342;23788;4722;3421;10449;7316;7384;10162;4259;1537;6239;1349"
"HALLMARK_MYC_TARGETS_V1",0.202380952380952,0.442535047483688,0.115240003147781,0.268262932607941,1.13678455580202,186,"5688;4953;22948;3326;6188;2739;9221;7419;1665;2935;10728;8669;5425;2107;7555;3939;10971;5478;6634;23016;1977;10921;6950;51491;7332;10935;6627;7416;26156;6741;5902;4830;1982;6432;7298;22916;26135;7027;5496;5714;10856;9136;5704;3181;1537;7411;5685;10213;5111;26354;9188;5230;6150;5683;6128;10155;6426;4706;4609;55651;6428;10549;8664;7284"
"HALLMARK_MYC_TARGETS_V2",0.26580226904376,0.511158209699539,0.103197466945307,0.319093972467426,1.122691685523,57,"9221;6652;64216;79077;4839;51491;705;56915;3099;23223;56342;80324;54663;92856;9238;51154;10244;9136;27346;9064;26354;3177;10199;4609;23481"
"HALLMARK_P53_PATHWAY",0.312781954887218,0.521616541353384,0.0891647117820678,0.25195481250136,1.06634162906808,189,"6236;2810;1026;4071;1050;6303;18;2309;5154;64782;6004;8744;10614;5900;6275;10397;6948;650;3872;578;30836;23169;10608;694;10458;7378;23645;5791;2040;64065;5564;2353;4808;7867;27244;203;896;51499;8626;23654;54884;8651;467;3275;22824;51278;55270;9635;9618;5268;7040;9314;29946;1030;8673;975;57799;29948;51768;91;3725;10668;23612;81566;1509"
"HALLMARK_HEME_METABOLISM",0.324888226527571,0.521616541353384,0.0865399737444125,0.251077940608091,1.06251956057997,184,"2035;360;6535;129642;6708;2309;56180;54498;23762;140609;1039;5606;9429;4635;26502;669;56895;51094;7150;847;2994;3043;118;2730;10841;7001;55589;2996;1510;7390;1193;26268;22936;6583;7504;896;5091;51573;8974;10422;23052;9258;1497;6622"
"HALLMARK_KRAS_SIGNALING_DN",0.325958702064897,0.521616541353384,0.0857844408075645,0.251743181380664,1.06131545485488,176,"1907;1014;1158;2044;55315;51168;26150;1271;23676;57089;3848;3780;2488;6336;7441;2261;7021;3860;83714;1630;2593;258;1360;3750;3852;57118;6261;398;10734;7032;6559"
"HALLMARK_XENOBIOTIC_METABOLISM",0.333834586466165,0.521616541353384,0.0855356947987884,0.249981049033052,1.0579881226147,189,"3484;7274;348;948;29950;3398;116842;54498;6533;366;65018;4121;5054;384;2643;8309;3700;847;1244;23169;10728;3728;7378;978;22949;5166;1725;7498;7358;9536;1592;629;8942;5091;8310;2192;116285;54884;5909;7448;6510;6370;5950;1562;1891;3417;10653;3554;10857;191;5226;27232;26998;316"
"HALLMARK_PEROXISOME",0.390894819466248,0.574845322744482,0.0793434960134973,0.268279388595336,1.04053656062337,97,"1382;3422;23457;8915;5825;6648;847;51179;1022;23417;6820;6258;3418;347734;412;30;1718;1733;7555;3295;54884;51109;291;1891;3417;6342;51024;215;10455;10478;10512;9270;80270"
"HALLMARK_APICAL_JUNCTION",0.380029806259314,0.574845322744482,0.0780892306943345,0.243840699467669,1.03309089190532,188,"54509;1364;2318;3638;1308;794;147;4892;9353;58;999;80381;942;5603;4192;5788;5175;83700;91624;3914;8503;6624;2593;1006;2770;10458;1758;3728;1024;3918;649;9379;57555"
"HALLMARK_ALLOGRAFT_REJECTION",0.451327433628319,0.644753476611884,0.0687943095604775,0.236843565819543,0.998500676000941,176,"3122;3824;3702;3109;356;942;3848;8915;23166;3108;1230;5788;2113;5582;3460;717;961;972;3559;23308;8669;2147;3001;8807;3117;10006;822;896;3551;9607;6357;7321;8651;2000;8444;3112;567;6351;3111;11184;7040;4830;914;2069;322;5552;9655;4690;7334;3593;959;3455;2589;7070;10563;3059;3133;958"
"HALLMARK_FATTY_ACID_METABOLISM",0.471036585365854,0.654217479674797,0.0683110858318647,0.241389261555413,0.995645093141961,152,"3248;58476;11185;948;8639;3158;3422;4953;3157;79602;762;51179;23417;9380;10808;30;5910;7358;1718;7390;51478;3939;1149;50814;11343;3295;54884;8802;6611;51109;92840;3320;3052;1891;158;3417;2271;3420;364;10455;3421;4913;10449"
"HALLMARK_MTORC1_SIGNALING",0.504451038575668,0.681690592669821,0.0636424081651019,0.229848529808396,0.973631621606658,187,"4860;1026;2717;6781;3638;3422;6533;134429;3157;3156;5606;5719;6713;79071;5641;2181;2023;8503;10682;5701;79602;6652;8553;1595;6319;6184;3949;23645;928;10963;47;1718;56902;2107;3939;5478;993"
"HALLMARK_SPERMATOGENESIS",0.527216174183515,0.69370549234673,0.0637845390312975,0.239588331146463,0.964831909759708,124,"4291;3305;3595;23175;5232;83700;7419;6558;1630;83401;7142;814;7180;56903;3948;5443;132612;5261;10047;4867;126669;8277;116832;9489;22824;9053;54558;23411;1132;84779;10124"
