"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000000000000000000000000000000000000000000000000379758869126813,0.0000000000000000000000000000000000000000000000189879434563407,1.82591885766985,0.752656291309291,3.49282097721637,194,"8942;8553;3976;2919;330;1647;8013;467;7128;5743;2353;1959;9308;6364;3569;2920;2354;1843;5055;1906;7185;3627;2152;4929;374;3164;23764;1827;182;7071;4780;5971;4973;4783;388;2921;2669;3624;3949;6385;1052;10769;8848;8870;1958;3725;3280;6446;10221;4794;1326;23645;604;3659;9592;5209;1051;4792;1960;6303;7050;9120;9314;150094;7422;50486;2114;2355;25816;9242;57018;4616;4609;5341;23135;2526;2643;51278;10950;5606;9516;602;65986;1844;1880;5791;8877;1839;3383;64135;6515;3726;10135;4084;8303;4170;687;4790;9945;329;6373;6347;8878;5966;1316;56937;79693;24145;1846;80176;3552;1026;10365;7262;8837;23529;3553;5187;7130;6890;8660;694;7832;6776;25976"
"HALLMARK_P53_PATHWAY",0.000000000628784080236587,0.0000000157196020059147,0.801215574617779,0.459068788740113,2.12807233802597,189,"3976;1647;467;4071;3625;6236;2353;1649;23657;3162;10769;8848;8870;3725;54541;23645;6520;10628;10560;677;6303;9314;9618;57761;51278;351;55602;5791;8877;1839;2309;1263;8493;4084;6281;7378;26471;2258;4851;4808;10668;355;3552;64782;1026;3691;1050;10397;5564;7421;3872;9738;27244;6890;694;7832;581"
"HALLMARK_APOPTOSIS",0.0000000269917154147636,0.000000337396442684545,0.73376198835648,0.46967772791312,2.11281070370167,153,"330;1647;2069;467;8900;1649;3569;5327;7042;388;3162;1491;8870;3725;5366;3659;10628;8915;1960;6303;51176;4616;2643;10950;351;5551;4739;3148;5663;4170;837;3958;8878;51330;3482;355;3552;1026;8837;3553;2876;7417;6890;7832;581;7078"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0000000212512298076563,0.000000337396442684545,0.73376198835648,0.443176487765494,2.04246277989236,188,"6401;3976;2069;728;6364;3569;3249;1906;3627;2152;5996;60675;5099;7439;4973;3656;3624;3949;8671;10242;3659;4792;6506;166929;7855;3269;3566;4609;2643;3037;6542;1880;5791;8877;1839;3383;196;3600;10630;10135;8807;133;4084;5663;3759;1604;4790;3665;1240;3091;5610;6373;6347;1316"
"HALLMARK_KRAS_SIGNALING_UP",0.00000012610747456962,0.0000012610747456962,0.690132458796796,0.420946171270175,1.95135004785771,189,"1520;3976;330;2069;9734;7128;5743;9935;6364;3486;5327;7185;3627;27344;3624;208;10221;23645;6662;2591;9314;50486;23268;7102;1848;23531;2791;81602;58155;5801;1839;11199;10912;639;4674;3237;1240;9945;9590;867;51129;5243;2113;56729;79693;10418"
"HALLMARK_HYPOXIA",0.000000334289407707746,0.00000278574506423122,0.674962860011025,0.419924342898393,1.93530086640013,188,"8553;10891;467;7128;2353;1649;3569;1843;3486;2152;23764;10370;5292;4783;3162;6385;8870;3725;5507;54541;23645;26136;54206;5211;5209;7422;2355;6095;6781;3219;2309;6515;133;5066;6478;8614;9590;2632;1316;7163;51129;2113;8819;1026;54800;3036;680;10397;4282;7360;2548;8660;694;25976"
"HALLMARK_MTORC1_SIGNALING",0.00000418792708588468,0.0000299137648991763,0.610526878385931,0.390629123259404,1.8049151734071,187,"8553;1649;23657;4783;8140;3949;1491;10797;54541;23645;26136;5211;3475;6509;7494;6781;57761;5606;3638;6515;10135;5718;29968;1719;440;26471;8878;2632;3157;6016;4793;5723;1595;23165;29110;441024;1026;7037;6117;3156;134429;79602;112399;3251;7832;908"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00000924232390665664,0.000057764524416604,0.593325476396405,0.383094124763069,1.78398790776494,190,"2919;1647;7128;3569;3486;374;388;2669;3624;6385;3725;22943;10085;6303;627;7422;50509;4616;5744;6591;2247;7474;1842;7857;3600;284217;26585;4837;22795;1009;7980;6445;51330;5376;56937;2316;5999;4176;355"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000019072704154291,0.000105959467523839,0.575610261071129,0.375937754464514,1.73465287708317,183,"7128;5743;3569;57162;3627;5292;10797;3659;10628;4792;26524;3566;2643;84159;3383;64135;3600;10124;10135;7378;837;4790;3665;54739;1240;3091;5610;10379;3663;6373;6347;57823;64761;5777;5321;2841;6772;355;84888;1026;129607;7130;6890;694;840;11054;567;8767;51735;5359;836;51056;4061;7706;669;952;4599;4600;9636;4283;6774;51015"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.000272648621832619,0.00113603592430258,0.49849310876659,0.40945909260157,1.7286490453114,104,"467;8140;10797;54541;1054;1051;9451;6509;7494;7422;79094;167227;1163;468;29968;55802;10528;440;8614;6347;60559;27257;4801"
"HALLMARK_IL2_STAT5_SIGNALING",0.0000451811335719382,0.000225905667859691,0.557332238758646,0.367632411150139,1.69614423169084,185,"8553;3976;9308;7185;3627;23710;23764;5292;3480;3559;8835;4783;388;1326;9173;1522;64332;5179;7494;6095;3566;4616;4609;23075;196;10124;6515;5621;4084;10888;1154;1316;4643;5243;462;28996;3482;5583;26018;399;57045;10397"
