"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000000000000000000290562425792213,0.0000000000000000145281212896107,1.13308993200902,0.604123591146103,2.65124941291226,194,"22822;1026;3604;9945;1958;7128;1843;1960;6303;8942;8553;10221;8013;2354;11080;23529;2353;467;9308;3398;7280;5606;7071;23764;2643;6385;1959;3949;80176;5329;23645;3164;8061;1880;1847;8744;9334;7185;330;5055;5791;3725;2669;5054;23135;650;4170;6648;9021;1846;5142;9314;7262;694;57018;1647;51278;604;8303;10938;7538;6446;1827;3726;1437;4780;4929;9592;4609;388;150094;23308;6515;10769;8848;960;5187;3460;3914;5209;687;1844;6364;65986;10318;1316;79693;2919;3976;595;4616;8877"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.000000000196495025073933,0.00000000491237562684833,0.826657301178302,0.508530204109701,2.22268364591571,190,"26353;2707;9547;4886;2717;2810;1960;4665;7869;5174;2296;5104;2353;3398;11057;7033;7031;2261;23650;10105;27075;56603;4192;27250;8900;9314;1154;4299;8309;7538;6446;57758;5603;10538;1152;6337;23596;7022;9536;10551;7980;928;960;8204;493;3669;11012;771;56521;1844;6990;3918;799;22824;11031;7358;64065;11098;7517;10202;595;6652;8645;2013;374;51659;3880;6478;8416"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00000825355612638959,0.0000515847257899349,0.593325476396405,0.552188187921983,2.11204696106918,71,"132864;7869;467;1119;3422;3949;3157;134429;5329;3156;2770;6713;1595;230;3958;5641;10682;552;928;6319;51330;50814;1717;51478;875;4783;9415;1191;1891;114569;2171;4047;7108;308;2990;2222"
"HALLMARK_HYPOXIA",0.00000000913149643323309,0.000000152191607220552,0.747739663149885,0.47920067316889,2.1001960744679,188,"3486;51129;3484;1907;56925;1026;6781;5837;7128;1843;9469;8553;2309;5507;2353;467;1466;1028;23764;6385;5329;23645;23210;2113;10397;26136;6095;3725;3162;5054;694;10891;6533;7538;230;10370;272;6275;123;3939;6515;3948;3669;5209;771;26118;2817;8974"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00000073662317760304,0.000009207789720038,0.659444398037935,0.442156095753107,1.93257571532637,190,"26353;360;4886;2697;2717;2810;1960;8553;7869;91683;5174;2296;2353;794;9467;29984;7071;375449;11057;7033;7031;10105;56603;1997;9314;81875;1154;18;4299;2274;1999;7357;6337;23596;60436;55638;4609;4477;7022;9536;3898;4582;960;8204;54898;771;6990;799;3856;5366;11031;11098;23541;23223;10202;3480;595;8645;374;3880;6478;8416;744;573;5029;10439;25976;6505;10560;23052"
"HALLMARK_KRAS_SIGNALING_UP",0.00000240936286188943,0.0000200780238490786,0.627256739718528,0.435969771347833,1.91277189682655,189,"3486;5649;51129;55107;9935;2012;10912;9945;7128;10221;5327;7869;2069;3398;685;4803;9734;5329;23645;5178;25907;3783;2113;27075;1520;7185;11199;330;219333;7139;650;669;9314;639;6662;6004;7102;1437;58155;51704;7851;7035;10253"
"HALLMARK_UV_RESPONSE_UP",0.0000116194569604973,0.0000645525386694293,0.593325476396405,0.442005288283851,1.8839810019079,149,"6236;360;5334;3337;2354;6535;2353;10482;467;1119;1028;262;2643;2744;3164;1983;10105;3162;8817;650;6648;694;578;3301;3726;388;5580;5702;1212;2878;80273;5471;3134;10652;9188;9129;528;7037;1138;10963;6184;10439;30;1280;1036;6539;997;760;2920;27295;898;7301;2237;9296;4792"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00000744132032747949,0.0000515847257899349,0.610526878385931,0.420192836429081,1.8365787088241,190,"3486;22795;5376;2697;2201;7128;6303;5744;6422;6535;6591;3398;6385;9353;5329;7078;8572;3725;2669;5054;284217;1293;1647;3908;7857;667;22943;1281;388;7980;5645;960;2817;649;2191;5270;3918;1282;2919;50863;355;4060;4314;5654;4907;4616;374;7049;2192;56937;2199;822;131578;51330;7040;2200;2335;10631;6695;6696;3371;3693;5351;26585;4035;5217;59;3678;4147;1009;4176;966;7045;6444;3624"
"HALLMARK_P53_PATHWAY",0.0000423607722805378,0.000211803861402689,0.557332238758646,0.406511511568721,1.78352685476617,189,"6236;4071;1026;2810;6303;2309;1050;2353;467;64782;5154;23645;8744;10397;5791;3725;3872;3162;650;7378;5900;9618;9314;694;1647;51278;18;10458;578;30836;4808;6004;5564;27244;6275;55602;10614;10769;8848;10668;2258;6281;2040;22824;64065;677;355;3976;81566;55270;5111;8877"
"HALLMARK_ANDROGEN_RESPONSE",0.00115687955557632,0.00385626518525441,0.45505986738723,0.440991925367306,1.77148484012725,96,"4117;3248;4824;3638;6303;84159;3422;3157;11057;3156;10397;57178;6446;9510;2185;22936;1021;2181;8848;567;1718;3977;3856;65986;23223;595;6611;6652;6319;7113;3880;56937"
