"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","2/7","51/7426",0.0392156862745098,41.6022408963585,8.9367301174295,0.000950037791307165,0.0148679556063477,0.00688621101767685,"HSPA1A/HSPA6",2
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","2/7","59/7426",0.0338983050847458,35.9612590799031,8.28118142079722,0.00127033053242663,0.0148679556063477,0.00688621101767685,"HSPA1A/HSPA6",2
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","2/7","70/7426",0.0285714285714286,30.3102040816327,7.56783344715751,0.00178415467276173,0.0148679556063477,0.00688621101767685,"HSPA1A/HSPA6",2
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","2/7","109/7426",0.018348623853211,19.4652686762779,5.96522619207693,0.00427267341452469,0.0231756621707441,0.0107339909001341,"HSPA1A/HSPA6",2
"Human Diseases","Infectious disease: viral","hsa05162","Measles","2/7","120/7426",0.0166666666666667,17.6809523809524,5.65843322465003,0.00515729031719371,0.0231756621707441,0.0107339909001341,"HSPA1A/HSPA6",2
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","2/7","128/7426",0.015625,16.5758928571429,5.45984822123426,0.00584976424570985,0.0231756621707441,0.0107339909001341,"HSPA1A/HSPA6",2
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","2/7","135/7426",0.0148148148148148,15.7164021164021,5.30028893213437,0.00648918540780835,0.0231756621707441,0.0107339909001341,"HSPA1A/HSPA6",2
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","2/7","160/7426",0.0125,13.2607142857143,4.81562466414283,0.00902322043163957,0.0281975638488737,0.013059924308952,"HSPA1A/HSPA6",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","2/7","196/7426",0.0102040816326531,10.8250728862974,4.28172954166465,0.0133370449814941,0.0370473471708168,0.0171587713212204,"HSPA1A/HSPA6",2
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","2/7","223/7426",0.00896860986547085,9.51441383728379,3.96529080127666,0.0170652651876283,0.0397834734248084,0.0184260297967534,"HSPA1A/HSPA6",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","2/7","226/7426",0.00884955752212389,9.38811630847029,3.93348029169568,0.0175047283069157,0.0397834734248084,0.0184260297967534,"HSPA1A/HSPA6",2
