"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP","5/94","44/9410",0.113636363636364,11.3757253384913,6.92928859466901,0.0000713337963334822,0.00808762382077989,0.0066852815567312,"10170/5649/51129/6781/3363",5
"ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN","8/94","146/9410",0.0547945205479452,5.48528125910813,5.48640365922665,0.000100097127865698,0.00808762382077989,0.0066852815567312,"3486/2707/4071/360/5376/2012/2810/351",8
"KRAS.600_UP.V1_UP","KRAS.600_UP.V1_UP","10/94","249/9410",0.0401606425702811,4.02033666581219,4.85181807378166,0.000180361898265346,0.00808762382077989,0.0066852815567312,"10170/5649/1081/51129/55107/55853/6781/5101/3363/2012",10
"KRAS.KIDNEY_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","7/94","128/9410",0.0546875,5.47456781914894,5.1198379928638,0.000280502191205124,0.00808762382077989,0.0066852815567312,"10580/5649/5334/2642/9935/5101/2012",7
"KRAS.300_UP.V1_UP","KRAS.300_UP.V1_UP","7/94","129/9410",0.0542635658914729,5.43212930892297,5.09132490434127,0.000294209926260459,0.00808762382077989,0.0066852815567312,"10170/5649/1081/51129/55107/6781/3363",7
"ESC_J1_UP_LATE.V1_UP","ESC_J1_UP_LATE.V1_UP","8/94","171/9410",0.0467836257309941,4.68333955456016,4.88256742827207,0.000297703944323186,0.00808762382077989,0.0066852815567312,"22822/283120/56925/219699/6615/4758/144165/351",8
"STK33_UP","STK33_UP","9/94","244/9410",0.0368852459016393,3.6924485524939,4.28029125026296,0.00071396952645565,0.016625290401753,0.0137425713362892,"728/22822/1026/9935/6781/2697/2012/4254/23657",9
"MEK_UP.V1_UP","MEK_UP.V1_UP","7/94","177/9410",0.0395480225988701,3.95900949633369,3.99192612395571,0.00191409584941858,0.0363320788693243,0.0300323286746756,"7481/51129/360/5101/10331/23657/1364",7
"STK33_SKM_UP","STK33_SKM_UP","8/94","229/9410",0.0349344978165939,3.49716621759732,3.8427410491698,0.00200606570444122,0.0363320788693243,0.0300323286746756,"728/338382/22822/58476/1026/9935/4254/23657",8
"KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_DN","5/94","117/9410",0.0427350427350427,4.2780505546463,3.58386408028174,0.0062163681919929,0.0887968385754045,0.073400034469821,"3486/6236/4693/9935/1014",5
"KRAS.50_UP.V1_DN","KRAS.50_UP.V1_DN","3/94","38/9410",0.0789473684210526,7.90313549832027,4.28294973494054,0.00632413782739486,0.0887968385754045,0.073400034469821,"6236/1014/10912",3
"E2F1_UP.V1_DN","E2F1_UP.V1_DN","6/94","169/9410",0.0355029585798817,3.55407276847539,3.36541057431131,0.00680004377110955,0.0887968385754045,0.073400034469821,"51129/22822/1397/56925/6615/29950",6
"TGFB_UP.V1_UP","TGFB_UP.V1_UP","6/94","172/9410",0.0348837209302326,3.49208312716477,3.31328420699188,0.00739157724913784,0.0887968385754045,0.073400034469821,"7481/6236/6615/9935/6781/5376",6
"RAF_UP.V1_DN","RAF_UP.V1_DN","6/94","175/9410",0.0342857142857143,3.4322188449848,3.26230186718246,0.00801955378567848,0.0887968385754045,0.073400034469821,"26353/4071/4886/9935/5376/4254",6
"PTEN_DN.V2_UP","PTEN_DN.V2_UP","5/94","127/9410",0.0393700787401575,3.9411961802647,3.35198911501859,0.00872768378308241,0.0887968385754045,0.073400034469821,"26353/22795/51129/2012/5016",5
"KRAS.LUNG.BREAST_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","5/94","129/9410",0.0387596899224806,3.88009236351641,3.30845175199491,0.0093032612628444,0.0887968385754045,0.073400034469821,"3486/10170/5649/51129/6781",5
"BCAT_GDS748_UP","BCAT_GDS748_UP","3/94","44/9410",0.0681818181818182,6.82543520309478,3.89043853753915,0.00951064132858686,0.0887968385754045,0.073400034469821,"7481/360/10912",3
"CAHOY_ASTROGLIAL","CAHOY_ASTROGLIAL","4/94","84/9410",0.0476190476190476,4.76697061803445,3.48341398729388,0.00980578585495265,0.0887968385754045,0.073400034469821,"2302/3486/1264/135228",4
